,recall_mean,recall_std,precision_mean,precision_std,iou_mean,iou_std,num_chunks,chunk_size,chunk_overlap
408,96.75328826904297,14.181151390075684,1.110475778579712,0.7175899744033813,1.1101948022842407,0.7174475193023682,9,400,125
409,96.75328826904297,14.181151390075684,0.9981977343559265,0.6445629596710205,0.9979708790779114,0.6444483399391174,10,400,125
410,72.6872329711914,42.64763641357422,7.119630336761475,6.113814830780029,7.045071125030518,6.095818996429443,1,400,150
411,89.44857025146484,29.06930160522461,4.642359733581543,3.461205244064331,4.635706901550293,3.456404685974121,2,400,150
412,93.44314575195312,22.727828979492188,3.222317934036255,2.2570247650146484,3.220445156097412,2.2568607330322266,3,400,150
413,96.0747299194336,16.762489318847656,2.461977958679199,1.660374402999878,2.4609131813049316,1.6603024005889893,4,400,150
414,97.68055725097656,12.370796203613281,1.9923133850097656,1.3155159950256348,1.991727352142334,1.3154510259628296,5,400,150
415,99.43679809570312,3.4316518306732178,1.6900297403335571,1.0815949440002441,1.6897598505020142,1.0815263986587524,6,400,150
416,99.43679809570312,3.4316518306732178,1.4498646259307861,0.9277348518371582,1.449665904045105,0.9276841282844543,7,400,150
417,99.43679809570312,3.4316518306732178,1.2676513195037842,0.8083292841911316,1.26749849319458,0.8082892894744873,8,400,150
418,99.43679809570312,3.4316518306732178,1.1283323764801025,0.7184706926345825,1.1282058954238892,0.7184340357780457,9,400,150
419,99.43679809570312,3.4316518306732178,1.0174014568328857,0.6498414278030396,1.0173004865646362,0.6498138904571533,10,400,150
420,71.9366683959961,43.250301361083984,7.203749656677246,6.676093101501465,7.145417213439941,6.591602325439453,1,400,175
421,89.56453704833984,28.50758934020996,4.589430332183838,3.4283194541931152,4.581451892852783,3.4252827167510986,2,400,175
422,92.20219421386719,25.608808517456055,3.1669673919677734,2.315614700317383,3.165803909301758,2.315934181213379,3,400,175
423,93.51798248291016,23.302820205688477,2.4193718433380127,1.7109488248825073,2.4187068939208984,1.7111533880233765,4,400,175
424,95.63838958740234,19.627328872680664,1.983104944229126,1.3648179769515991,1.9830063581466675,1.3647924661636353,5,400,175
425,95.63838958740234,19.627328872680664,1.6506952047348022,1.1337987184524536,1.6506261825561523,1.1337802410125732,6,400,175
426,95.98595428466797,19.466951370239258,1.4152235984802246,0.9701752662658691,1.4151896238327026,0.9701477289199829,7,400,175
427,97.30174255371094,16.006725311279297,1.252821922302246,0.8359320759773254,1.2527958154678345,0.8359109163284302,8,400,175
428,98.6175308227539,11.402000427246094,1.1241012811660767,0.7339239716529846,1.1240806579589844,0.7339074015617371,9,400,175
429,98.6175308227539,11.402000427246094,1.0110764503479004,0.6597700119018555,1.0110597610473633,0.6597564816474915,10,400,175
430,78.092529296875,40.008914947509766,7.856609344482422,7.035638332366943,7.822940349578857,6.999474048614502,1,400,200
